Summons Number,Registration State,Plate Type,Issue Date,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Violation Precinct,Issuer Precinct,Issuer Code,Violation Time,Front Of Or Opposite,From Hours In Effect,To Hours In Effect,Vehicle Year,Feet From Curb,Violation Code
2515962709,NY,PAS,6/15/2017,SDN,ME/BE,X,25645,32625,32625,19,977,828296,1008A,F,1000A,1130A,2016,0,21
2515751571,NY,PAS,7/8/2017,SDN,HONDA,P,26190,49690,18040,105,105,957841,0850A,,ALL,ALL,1999,0,98
2526830351,NY,PAS,6/21/2017,SUBN,NISSA,S,53790,23290,65325,103,0,517533,0324A,F,0300A,0600A,2003,0,21
2515319571,NY,PAS,5/17/2017,SUBN,JEEP,F,0,0,0,1,30,919852,0558P,,ALL,ALL,2001,0,14
2516699325,NY,PAS,6/28/2017,SDN,NISSA,P,0,40404,40404,113,642,47710,1228P,F,ALL,ALL,2016,0,14
2499897882,PA,PAS,7/5/2017,SDN,FORD,P,50770,70520,12550,43,0,39,0835A,F,ALL,ALL,0,5,40
2527487442,NY,OMS,7/1/2017,SDN,NISSA,P,37130,14030,14080,63,63,958192,0933P,F,ALL,ALL,2017,0,46
2527479036,NY,PAS,7/4/2017,SDN,NISSA,P,37484,14730,14780,63,63,943157,0942P,F,ALL,ALL,2015,0,46
2510778757,NY,PAS,5/26/2017,SDN,NISSA,P,7830,9600,23800,45,0,105989,0902P,F,ALL,ALL,2013,0,14
2523612175,NY,PAS,5/30/2017,SDN,NISSA,P,0,40404,40404,75,75,960162,0326P,F,ALL,ALL,2006,0,98
2527597867,NY,PAS,6/25/2017,SUBN,HONDA,P,30220,67020,30020,47,47,955813,0500A,F,ALL,ALL,2002,0,98
2527230331,NJ,PAS,7/12/2017,SUBN,HONDA,P,34830,10410,10510,18,18,949820,0103A,F,ALL,ALL,0,0,20
2527180094,NY,PAS,7/16/2017,SDN,KIA,P,19750,25030,15650,123,123,956731,0155A,F,ALL,ALL,2011,0,40
2499895617,NY,PAS,6/23/2017,SDN,HONDA,P,70520,66520,50770,43,0,141,1103A,F,ALL,ALL,2001,0,19
2509669638,NY,PAS,7/12/2017,SUBN,CHEVR,P,40930,59030,26230,70,401,926873,0350P,F,ALL,ALL,2007,0,14
2523684508,NY,SRF,7/5/2017,SDN,HONDA,S,51975,14740,14890,112,0,612361,0952A,F,0930A,1100A,2014,0,21
2527490443,NY,PAS,6/29/2017,SUBN,FORD,P,36530,14030,14080,63,63,945396,0100P,F,ALL,ALL,2005,0,40
2516886976,NY,PAS,7/5/2017,SDN,MITSU,P,42850,53830,13430,84,84,959350,0134A,O,ALL,ALL,2012,0,20
2523876530,NY,PAS,6/10/2017,SDN,FORD,P,51735,70036,36285,121,121,961927,0822A,O,ALL,ALL,2016,0,19
2517406403,NY,PAS,6/21/2017,SUBN,NISSA,P,10810,22450,22450,32,806,951216,0635P,O,ALL,ALL,2014,0,98
2515541254,PA,PAS,7/7/2017,SDN,CHRYS,P,19230,54056,73110,77,802,937786,0929P,O,ALL,ALL,2005,0,14
2499895514,NY,PAS,6/24/2017,SDN,CHEVR,P,72220,50020,78485,43,0,91,1025A,F,ALL,ALL,2009,0,14
2515709992,NY,PAS,6/28/2017,VAN,HONDA,P,51090,26740,26840,105,105,924201,1148P,F,ALL,ALL,0,0,46
2523770883,NY,PAS,7/3/2017,SDN,CHEVR,S,0,0,0,94,0,548242,1207A,F,1200A,0300A,1999,0,21
2515325247,NY,COM,6/28/2017,VAN,FORD,F,0,40404,40404,34,93,912043,1203P,F,1130A,0100P,2001,0,20
2527649606,NY,999,6/25/2017,SDN,CHEVR,P,26490,18620,69720,42,42,960565,0520A,O,ALL,ALL,2008,0,40
2515962881,NY,PAS,6/15/2017,SUBN,JEEP,X,25645,13113,13113,19,977,828296,1100A,F,1000A,1130A,2015,0,21
2510322385,NY,PAS,6/22/2017,SDN,BMW,S,17790,23290,23490,103,0,512735,0910A,F,0830A,1000A,2013,0,21
2516959694,TX,PAS,6/22/2017,SDN,LINCO,P,64790,18290,28265,103,163,959271,0710P,,ALL,ALL,0,0,19
2510603453,NY,PAS,6/19/2017,SUBN,MERCU,K,0,46100,0,122,5,160098,1231A,,ALL,ALL,2007,0,63
2510603982,NY,PAS,7/7/2017,SDN,HONDA,K,41300,26480,0,122,5,160324,1005P,,ALL,ALL,2003,0,63
2512000706,NY,PAS,7/12/2017,SDN,TOYOT,S,0,40404,40404,101,0,550105,1141A,F,1130A,0100P,2006,0,21
2523612254,NY,PAS,6/2/2017,SUBN,INFIN,P,39930,39830,73350,75,75,960162,0150P,F,ALL,ALL,2013,0,46
2499897286,NY,PAS,7/2/2017,SDN,NISSA,P,59820,50750,29620,43,0,39,0826A,F,ALL,ALL,2005,0,19
2513400620,NY,PAS,7/7/2017,SUBN,PORSC,P,33065,45060,33500,120,120,959339,0703P,F,ALL,ALL,2006,0,40
2525171091,NY,PAS,7/16/2017,SDN,NISSA,P,28290,13820,77450,42,42,946298,0400A,F,ALL,ALL,2012,0,46
2499891503,NY,PAS,7/8/2017,SDN,HONDA,P,50020,59720,12550,43,0,138,0815P,F,ALL,ALL,2005,0,14
2527429326,NY,PAS,6/16/2017,SDN,FORD,P,67530,54050,73030,61,61,931202,0450P,F,ALL,ALL,2015,0,46
2511459245,NY,PAS,5/19/2017,SUBN,CHEVR,P,88030,18830,83730,75,75,947337,1035A,F,ALL,ALL,2006,0,46
2516250762,NY,PAS,6/15/2017,SDN,NISSA,P,70219,70097,70307,123,123,944499,0250A,F,ALL,ALL,2016,1,40
2513435078,NY,PAS,7/5/2017,SDN,NISSA,P,45050,54950,34700,120,120,931000,0300A,F,ALL,ALL,2017,0,40
2518786924,NY,PAS,6/20/2017,SUBN,TOYOT,P,38690,56790,56590,101,101,951544,0204P,F,ALL,ALL,2001,0,46
2510508997,NY,PAS,6/25/2017,SUBN,CHEVR,P,0,11700,0,34,1,160633,1103A,F,ALL,ALL,2017,0,14
2525382215,NY,PAS,7/15/2017,SUBN,FORD,P,71420,0,0,50,2,160573,0709P,,ALL,ALL,2017,0,63
2499897298,NY,PAS,7/9/2017,SDN,HONDA,P,55120,66320,23800,43,0,39,0952A,O,ALL,ALL,2008,0,14
2526816800,NY,PAS,6/30/2017,SDN,TOYOT,S,52090,16840,16810,102,0,668016,1025A,F,1000A,1130A,2011,0,21
2516962304,NY,PAS,7/12/2017,SUBN,FORD,P,25600,19720,49990,103,103,949338,0800A,F,ALL,ALL,1998,0,98
2525348761,NY,PAS,6/23/2017,TWOD,HONDA,K,13820,61830,53830,84,4,160073,1028A,,ALL,ALL,2007,0,20
2513659997,NY,PAS,7/3/2017,SDN,ME/BE,P,16990,23390,23590,106,106,961752,0621A,F,ALL,ALL,2010,0,40
2512086483,NY,PAS,6/28/2017,,HONDA,P,32940,0,0,1,822,44419,0605P,O,ALL,ALL,2001,0,40
2510547553,NY,PAS,7/14/2017,SDN,MERCU,K,0,0,0,122,5,160098,1218A,,ALL,ALL,2006,0,63
2510477344,NY,PAS,6/22/2017,SUBN,ACURA,K,0,0,0,5,1,160697,0313P,,ALL,ALL,2012,0,20
2525249321,NY,PAS,6/20/2017,SDN,FORD,P,36450,10610,10810,32,32,941136,1157A,O,1130A,0100P,2009,0,21
2523149578,NY,PAS,6/29/2017,SDN,HONDA,S,22190,36570,36590,30,0,624965,1112A,O,1100A,1230P,1999,0,21
2499895575,NY,PAS,6/26/2017,SDN,VOLVO,X,50750,50020,56890,43,0,73,0324P,F,ALL,ALL,0,0,14
2512001058,NY,PAS,7/5/2017,SDN,CHEVR,S,31390,35290,27820,101,0,921445,0957A,O,0930A,1100A,2012,0,21
2518784599,99,PAS,6/10/2017,SDN,VOLKS,P,31430,41700,60790,101,101,961465,0508P,F,ALL,ALL,0,0,40
2523769167,NY,PAS,7/1/2017,SDN,ACURA,S,53790,66790,23040,103,0,697907,0350A,F,0502A,06A,2017,0,21
2513763466,NY,PAS,6/9/2017,SDN,ME/BE,P,58590,14890,15140,107,113,950837,1214P,F,ALL,ALL,2014,0,40
2510545593,NJ,PAS,7/4/2017,SUBN,JEEP,K,0,46850,0,122,5,160674,0653P,,ALL,ALL,0,0,14
2527170009,NY,PAS,6/21/2017,SDN,ME/BE,P,46100,22250,41750,122,122,952984,1036P,F,ALL,ALL,2017,0,98
2515961942,NY,PAS,6/19/2017,SUBN,NISSA,X,29605,13113,25645,19,977,447895,1005A,O,ALL,ALL,2013,0,20
2527427275,NY,PAS,7/9/2017,SUBN,LEXUS,P,35280,14830,14880,61,61,923465,0220A,F,ALL,ALL,2017,1,40
2524815586,NJ,PAS,7/13/2017,SDN,FORD,P,15540,8790,8890,115,115,952254,0700P,F,ALL,ALL,0,0,46
2497679176,NY,PAS,7/18/2017,SDN,HYUND,P,24590,53790,19720,103,103,957812,1054A,F,ALL,ALL,2016,0,98
2527787311,NY,PAS,6/9/2017,SDN,TOYOT,P,15010,40404,40404,7,7,957172,0755P,O,ALL,ALL,2015,0,20
2512139044,NY,PAS,7/12/2017,SUBN,CADIL,P,13490,79980,63130,88,824,959186,0155A,F,ALL,ALL,2007,0,14
2452208531,NY,PAS,6/16/2017,SDN,HYUND,P,0,40404,40404,121,121,942882,0938P,O,ALL,ALL,2002,0,20
2510600709,NY,PAS,7/16/2017,P,JEEP,K,0,40404,40404,122,5,160644,0221P,,ALL,ALL,2017,0,20
2524440307,NY,PAS,6/23/2017,SDN,TOYOT,P,45430,52730,39830,75,504,332045,0822A,F,0800A,0930A,2011,0,21
2513661694,NY,PAS,6/17/2017,SDN,NISSA,P,53790,21740,21740,106,106,940572,0557P,F,ALL,ALL,2015,0,19
2524437385,NY,PAS,6/21/2017,SDN,NISSA,P,38430,49130,42730,73,504,343900,0706A,F,0700A,1000A,2014,0,14
2515939821,NY,PAS,6/21/2017,SDN,LEXUS,X,25645,13113,13113,19,977,389464,0128P,F,ALL,ALL,2013,0,40
2513408836,PA,PAS,7/3/2017,SDN,,P,0,40404,40404,120,120,955832,0419P,F,ALL,ALL,0,0,40
2474135871,NY,PAS,6/29/2017,SUBN,NISSA,X,58330,64230,57730,60,985,100408,1158A,O,ALL,ALL,2015,0,21
2515964566,NY,PAS,6/30/2017,SUBN,JEEP,X,0,40404,40404,19,972,947077,0930A,F,ALL,ALL,1994,0,19
2525156197,NY,PAS,6/27/2017,SUBN,INFIN,P,74780,27360,23520,52,52,962370,0915P,F,ALL,ALL,2005,5,40
2449464502,NY,PAS,6/26/2017,SDN,NISSA,K,48502,25908,25908,122,5,160098,1217A,O,ALL,ALL,2006,0,63
2514024894,NY,OMT,6/22/2017,SDN,LINCO,P,5065,40404,40404,103,103,936841,0020A,F,ALL,ALL,2010,0,19
2525127987,NY,PAS,6/11/2017,SUBN,JEEP,P,57840,56000,12550,168,163,956669,0821P,,ALL,ALL,2002,0,63
2497187711,PA,PAS,6/21/2017,SDN,CHEVR,X,17390,31710,31710,13,839,111101,0133A,F,ALL,ALL,0,6,40
2525086314,PA,PAS,6/21/2017,SDN,HONDA,P,15020,62520,48420,47,47,960670,0740A,F,ALL,ALL,0,0,40
2513435852,NY,PAS,6/26/2017,SUBN,HONDA,P,0,0,0,120,120,962657,0518A,F,ALL,ALL,2010,0,40
2513721691,NY,PAS,6/16/2017,SDN,NISSA,P,19140,26840,63290,105,105,945805,1050P,F,ALL,ALL,2008,0,98
2515724611,NY,PAS,6/9/2017,SUBN,TOYOT,P,55590,27094,27096,105,105,931865,1048A,F,ALL,ALL,2005,0,19
2517351237,NY,PAS,6/29/2017,SUBN,TOYOT,P,19430,40404,40404,23,805,962799,0134P,O,0800A,0600P,2017,0,14
2527146213,NY,PAS,6/28/2017,SDN,HYUND,P,15970,25710,0,123,123,933641,1020A,,ALL,ALL,2008,0,14
2525247294,NY,PAS,6/20/2017,SDN,CHRYS,P,36470,10610,10810,32,32,941136,1147A,F,1130A,0100P,2016,0,21
2525352867,NY,PAS,6/30/2017,SUBN,INFIN,P,0,0,0,68,4,160472,0749P,F,ALL,ALL,2006,0,14
2513717005,NY,PAS,6/30/2017,SUBN,FORD,P,27135,22520,45890,105,105,951045,0209P,O,ALL,ALL,2016,0,46
2515247212,NY,PAS,6/12/2017,SUBN,VOLVO,B,10790,5690,0,108,0,587480,1158A,,ALL,ALL,0,0,20
2527583467,NY,PAS,6/24/2017,VAN,CHRYS,P,25320,46220,28620,47,47,954602,0549P,F,ALL,ALL,2001,0,46
2523601706,NY,PAS,6/30/2017,SUBN,PORSC,P,55930,34330,56230,75,75,958727,0920A,F,ALL,ALL,2006,0,14
2510519454,NY,PAS,7/4/2017,SUBN,JEEP,K,13820,61830,53830,84,4,160355,0650P,O,ALL,ALL,2017,0,20
2512161301,NY,PAS,6/29/2017,SUBN,CHEVR,P,13490,63130,63430,88,0,957704,1216P,F,ALL,ALL,2008,0,46
2523862672,NY,PAS,7/17/2017,SDN,BMW,P,7040,12550,12550,47,808,963224,0127A,F,ALL,ALL,2012,0,14
2460416475,NY,PAS,6/28/2017,SDN,ACURA,P,30520,72720,36420,44,44,950424,0506P,F,ALL,ALL,2012,0,40
2513658530,NY,PAS,6/10/2017,SDN,TOYOT,P,21540,53790,19990,106,106,937264,0210A,F,ALL,ALL,2005,0,40
2499888121,NY,PAS,6/29/2017,SDN,AUDI,X,50750,38830,58550,43,0,141,1023A,F,ALL,ALL,2011,0,20
2526816071,NY,PAS,7/8/2017,SUBN,KIA,S,59430,25130,12330,66,0,589298,0825A,F,0800A,0830A,2016,0,21
2497184734,MD,PAS,6/18/2017,SUBN,NISSA,X,12310,17310,10555,13,839,111101,0257A,O,ALL,ALL,0,0,14
2510443383,NY,PAS,7/6/2017,SDN,VOLVO,X,34820,26340,78570,41,0,831917,1230A,O,1200A,0300A,2009,0,21
2516963326,NY,PAS,7/9/2017,SUBN,JEEP,P,18040,25740,25790,103,103,942343,0630A,F,ALL,ALL,2016,0,98
2510682717,NY,PAS,7/4/2017,SUBN,HONDA,K,67730,22690,0,60,4,160693,0354P,F,ALL,ALL,2017,0,14
2515725023,PA,PAS,6/12/2017,SUBN,GMC,P,22700,27040,27050,105,105,915643,1238P,F,ALL,ALL,0,0,46
2525083093,NY,PAS,6/24/2017,SUBN,HYUND,P,27930,44620,66820,52,52,939566,0852P,F,ALL,ALL,2017,0,14
2515958450,NY,PAS,6/17/2017,SDN,HONDA,X,25645,13113,13113,19,977,627090,1007P,F,ALL,ALL,0,0,20
2525345127,NY,PAS,7/2/2017,SDN,INFIN,K,13820,33720,61830,84,4,160299,0833P,,ALL,ALL,2013,0,20
2514031928,NY,PAS,7/8/2017,SUBN,KIA,P,24290,62990,19990,103,103,0,0930P,F,ALL,ALL,2013,0,98
2516937011,NY,PAS,6/29/2017,SUBN,FORD,P,60790,32890,32940,100,100,985561,0520P,O,ALL,ALL,2005,0,46
2527477064,PA,PAS,6/20/2017,SUBN,CHEVR,P,37460,15655,59353,63,63,956896,0430P,F,ALL,ALL,0,0,98
2523314978,NY,PAS,6/16/2017,SUBN,CHRYS,P,50330,19830,34330,75,75,955532,0925A,F,ALL,ALL,2005,0,98
2527607927,NY,PAS,6/11/2017,SUBN,DODGE,P,0,40404,40404,45,163,952626,0808P,,ALL,ALL,2014,0,63
2513205627,NY,PAS,7/5/2017,SUBN,CHEVR,P,0,0,0,63,63,948852,0534A,F,ALL,ALL,2017,0,40
2527112562,NY,PAS,7/1/2017,SDN,DODGE,S,54050,90730,90680,62,0,686282,0745A,F,0730A,0800A,2011,0,21
2418683736,PA,PAS,6/12/2017,SDN,FORD,P,0,0,0,110,169,940167,0500P,,ALL,ALL,2005,0,14
2515621098,PA,PAS,7/9/2017,SDN,CHEVR,P,55930,83730,19830,75,75,954409,1258A,F,ALL,ALL,2001,0,98
2517925382,NY,PAS,6/30/2017,VAN,FORD,P,37080,37130,14630,63,62,957356,0820P,O,ALL,ALL,2006,0,14
2524959225,NY,PAS,7/5/2017,SUBN,JEEP,P,13820,26730,26730,42,42,936540,0740P,F,ALL,ALL,2012,0,46
2526816363,NY,PAS,7/11/2017,SUBN,CHEVR,S,51090,24890,24940,103,0,517533,0311A,F,0300A,0600A,2005,0,20
2527676937,NY,PAS,7/3/2017,SDN,ACURA,P,74750,40404,40404,52,52,960001,1213A,O,1130A,0100P,2008,0,20
2526828650,NJ,PAS,7/18/2017,SDN,,S,44690,22870,22910,113,0,588810,0937A,F,0930A,1100,0,0,21
2517042804,NY,PAS,6/9/2017,SUBN,CADIL,P,35115,60790,56990,100,100,955100,0304P,F,ALL,ALL,2013,0,20
2518777309,NY,PAS,6/21/2017,SDN,NISSA,P,60085,29940,50303,101,101,931488,1219P,F,ALL,ALL,2015,2,40
2523844633,NY,PAS,7/10/2017,SDN,,P,0,0,0,43,808,960572,0735P,F,ALL,ALL,2014,0,46
2524380146,PA,PAS,7/6/2017,SUBN,ME/BE,X,85330,58130,72930,79,0,702761,1235P,F,ALL,ALL,0,0,14
2525405908,NY,PAS,6/15/2017,SDN,HONDA,P,13235,10990,11090,110,3,160608,0327P,O,ALL,ALL,2023,0,20
2525247518,NY,PAS,6/19/2017,SDN,MITSU,P,36470,10610,10810,32,32,941136,1148A,F,1130A,0100P,2015,0,21
2515964244,NY,PAS,7/6/2017,SUBN,DODGE,X,25645,45100,32625,19,977,627890,0715P,F,ALL,ALL,2002,0,20
2527177611,NY,PAS,7/9/2017,SUBN,CHEVR,P,43196,18980,18510,123,123,962714,1030A,O,ALL,ALL,2003,0,98
2497682320,NY,PAS,6/26/2017,SDN,TOYOT,P,28290,63090,35780,103,103,955963,0622P,F,ALL,ALL,0,0,98
2515727556,NY,PAS,6/19/2017,SDN,TOYOT,P,27190,55460,22700,105,105,931865,0905A,F,ALL,ALL,1996,0,46
2514768265,NY,PAS,6/12/2017,SDN,HONDA,P,19430,10210,10110,25,805,961315,0827A,F,0700A,0700P,2007,0,20
2484970485,NY,PAS,7/6/2017,SUBN,FORD,X,31230,75930,49730,60,985,100408,1156A,F,1130A,0100P,2002,0,21
2510881130,NY,PAS,6/25/2017,SDN,HONDA,P,71750,10920,48820,41,41,955313,0530P,O,ALL,ALL,2007,0,19
2516936841,NY,PAS,6/26/2017,SUBN,CHEVR,P,35110,57970,60790,100,100,955995,0110A,F,ALL,ALL,2016,0,14
2483056647,NY,PAS,6/15/2017,VAN,CHYLR,X,0,0,0,122,835,472,1157P,,ALL,ALL,2005,0,63
2513388509,NY,PAS,6/10/2017,SDN,VOLKS,P,53000,22200,17040,120,120,957686,0145A,F,ALL,ALL,0,0,19
2513840566,NY,PAS,6/18/2017,SDN,LINCO,P,17640,25240,41700,107,107,952939,0330A,F,ALL,ALL,2011,0,40
2523658406,NY,PAS,6/23/2017,SDN,HONDA,S,28530,18120,47220,47,0,120652,1158A,F,1130A,0100P,2011,0,21
2516869761,NY,PAS,7/3/2017,SDN,FIAT,P,17090,37790,58890,107,107,935292,0118A,F,ALL,ALL,2012,0,40
2524945342,NY,PAS,6/21/2017,SDN,TOYOT,P,0,40404,40404,47,47,956286,0130P,F,ALL,ALL,2012,0,19
2526896322,NY,PAS,6/11/2017,SUBN,ROVER,P,18190,97670,10010,19,19,897624,0110A,F,ALL,ALL,2017,0,14
2510603283,NY,PAS,6/19/2017,SUBN,JEEP,K,0,46100,0,122,5,160098,1210A,,ALL,ALL,2004,0,63
2525093185,NY,PAS,7/6/2017,SDN,JEEP,P,28320,18120,77150,47,47,939268,0604A,F,ALL,ALL,0,0,98
2525129492,NY,PAS,6/9/2017,SUBN,TOYOT,P,55960,12550,12550,45,163,953683,0820P,,ALL,ALL,2013,0,63
2469260727,NY,PAS,6/18/2017,SDN,HONDA,P,62200,33525,33640,100,100,960931,0420P,F,ALL,ALL,2009,0,20
2526829027,TX,PAS,6/23/2017,,BMW,S,0,0,0,103,0,695240,0949A,,0930A,1100A,0,0,21
2513720226,FL,PAS,6/25/2017,SUBN,HYUND,P,27250,35780,50620,105,105,950375,0345A,F,ALL,ALL,0,0,40
2513658220,NY,PAS,6/30/2017,SDN,NISSA,P,20890,21690,21740,106,106,961795,0850A,F,ALL,ALL,2004,0,98
2513660898,NY,PAS,6/19/2017,SUBN,FORD,P,19040,22220,59190,106,106,957492,0325A,F,ALL,ALL,2015,0,40
2510603349,NY,PAS,6/25/2017,SUBN,ROVER,K,0,36500,0,122,5,160098,1005P,O,ALL,ALL,2015,0,63
2510452017,NY,PAS,6/18/2017,SUBN,GMC,K,29370,0,0,25,1,160347,1215P,O,ALL,ALL,2015,0,20
2499891612,NY,PAS,6/23/2017,SUBN,JEEP,P,29620,24790,30915,43,0,143,0848P,F,ALL,ALL,2017,0,40
2510450948,NY,PAS,6/25/2017,SUBN,JEEP,P,0,13570,0,25,1,160347,0312P,F,ALL,ALL,2016,0,14
2513735343,NY,PAS,7/14/2017,SUBN,GMC,P,25600,35780,13290,107,107,956569,0322A,O,ALL,ALL,2016,5,40
2492584711,NY,PAS,7/5/2017,SUBN,CHEVR,P,58428,40404,40404,803,803,957596,1057P,O,ALL,ALL,2002,0,20
2510626672,NY,PAS,7/4/2017,SUBN,JEEP,K,0,0,0,50,2,160696,0408P,F,ALL,ALL,2002,0,20
2510600800,NJ,PAS,7/2/2017,,TOYOT,K,46850,46100,0,122,5,160324,0404P,,ALL,ALL,0,0,14
2526816569,NY,PAS,7/11/2017,SDN,TOYOT,S,25050,49690,18140,103,0,580054,1145A,F,1130A,0100P,2015,0,21
2469259917,NY,OMS,6/29/2017,SUBN,HONDA,P,0,0,0,100,100,998019,0959A,,,,2016,0,21
2527430136,NY,PAS,6/11/2017,SDN,INFIN,P,14630,35130,35180,61,61,948414,0450P,F,ALL,ALL,2016,0,46
2518789147,NY,PAS,6/23/2017,SDN,LINCO,P,56090,62700,30240,101,101,951544,0126P,F,ALL,ALL,2017,0,19
2510450035,NY,PAS,6/11/2017,P-U,DODGE,K,29370,0,0,25,1,161461,1258P,,ALL,ALL,2013,0,46
2513658713,NJ,PAS,6/25/2017,P-U,DODGE,P,53790,20640,20740,106,106,958128,0515P,F,ALL,ALL,0,0,19
2469260739,NY,PAS,7/4/2017,SDN,NISSA,P,64151,15635,49295,100,100,960931,0405P,O,ALL,ALL,2016,0,20
2514055982,NY,PAS,7/6/2017,SDN,NISSA,P,31540,28460,35290,101,101,950670,0435P,F,ALL,ALL,2016,0,46
